id,dist,mag,absmag,spect,x,y,z
319449,98.4675,7.92,2.954,F3 V,29.145,65.265,-67.726
319468,137.459,8.69,2.999,A7V,55.692,124.74,15.272
319484,119.5648,10.14,4.752,G5/6 V,31.883,71.419,-90.436
319486,242.3874,7.83,0.907,G5,35.199,78.852,226.484
319519,245.8437,7.89,0.937,G5,41.961,94.033,223.24
319538,172.7571,9.42,3.233,F3 V,52.323,117.275,-115.559
319550,124.7075,8.16,2.681,F0 IV,40.856,91.583,-74.131
319582,118.388,7.95,2.583,A9 IV/V,46.7863,104.9038,-28.671
319593,121.3592,5.1,-0.32,A 3 V,48.755,109.33,19.948
319616,393.5038,8.4,0.425,K0 IV/V,156.393,350.799,-85.597
319620,46.8197,8.38,5.028,G5 V,15.663,35.133,-26.692
319629,99.0517,9.18,4.201,F5WG3,18.122,40.651,-88.489
319637,461.0509,10.42,2.101,F2,174.376,391.217,170.617
319641,43.2687,10.89,7.709,K5.5Ve,17.088,38.338,10.506
319656,50.9423,10.97,7.435,K8,18.339,41.152,23.777
319672,97.1322,6.98,2.043,A2MA9-F2,15.614,35.041,-89.236
319680,206.3951,8.75,2.177,K0,81.353,182.596,51.373
319703,210.6993,8.18,1.562,A0,78.133,175.412,86.719
319741,136.9249,8.3,2.618,F0,46.258,103.889,76.261
319743,212.1706,6.34,-0.293,B3V,78.654,176.652,87.315
319745,144.5387,7.89,2.09,F0,48.032,107.876,83.349
319791,89.8715,3.97,-0.798,K4 III,30.2881,68.0568,-50.2777
